name,head_size,length,power,flex,tension,brand,beam_width,weight,balance,speed,composition,price,swing_weight
Racquet26,98.0,27.0,0,69.0,52.0,Tecnifibre,22.5,323.5,0,2,dynacore xtc   graphite,229.95,323.0
Racquet27,100.0,27.0,1,68.0,52.5,Yonex,23.8,309.0,0,1,hm graphite   m40x with vdm hm graphite   m40x   vdm,239.0,320.0
Racquet28,100.0,27.0,0,55.0,57.5,Pro,21.0,309.0,0,2,spiraltech graphite,199.0,319.0
Racquet29,100.0,27.0,1,73.0,55.0,Wilson,24.0,309.0,0,1,carbon fiber,159.0,315.0
Racquet30,100.0,27.0,1,72.0,55.0,Wilson,23.7,310.5,0,1,high performance carbon fiber,149.0,333.0
Racquet31,100.0,27.0,1,71.0,55.0,Wilson,23.7,309.5,0,1,high performance carbon fiber,149.0,335.0
Racquet32,95.0,27.0,0,63.0,52.5,Dunlop,20.5,317.5,0,2,sonic core with infinergy,219.99,319.0
Racquet33,97.0,27.0,0,68.0,55.0,Wilson,21.5,348.5,0,2,braided graphite   kevlar,249.0,330.0
Racquet34,107.0,27.2,1,66.0,54.5,Babolat,24.0,294.5,0,1,htr   graphite,209.0,310.0
Racquet35,100.0,27.0,1,67.0,55.0,Dunlop,23.0,309.0,0,1,sonic core with infinergy   graphite,199.99,322.0
Racquet36,102.0,27.0,1,60.0,52.5,Head,23.3,289.0,0,1,graphene 360+   graphite,199.95,310.0
Racquet37,98.0,27.0,0,62.0,55.0,Wilson,20.6,315.5,0,2,high performance carbon fiber,219.0,331.0
Racquet38,97.0,27.0,0,65.0,55.0,Wilson,21.5,323.5,0,2,braided graphite   kevlar,229.0,320.0
Racquet39,100.0,27.0,1,70.0,54.5,Babolat,24.0,277.5,0,1,htr   graphite,199.0,300.0
Racquet40,100.0,27.0,0,72.0,54.5,Babolat,24.0,323.5,0,2,htr   graphite,229.0,320.0
Racquet41,98.0,27.0,1,64.0,52.5,Yonex,22.0,312.5,0,2,hm graphite   m40x with vdm hm graphite   m40x   vdm,239.0,317.0
Racquet42,105.0,27.0,1,62.0,55.0,Dunlop,21.5,303.5,0,1,sonic core with infinergy   graphite,199.99,313.0
Racquet43,98.0,27.0,1,64.0,52.5,Head,21.3,309.0,0,2,graphene 360+   graphite,229.95,325.0
Racquet44,100.0,27.0,1,63.0,52.5,Head,24.0,309.0,0,2,graphene 360+   graphite,179.95,320.0
Racquet45,100.0,27.0,0,62.0,52.5,Head,23.0,319.0,0,2,graphene 360+   graphite,239.95,330.0
Racquet46,98.0,27.0,1,64.0,55.0,Dunlop,21.5,297.5,0,1,sonic core with infinergy   graphite,199.99,315.0
Racquet47,110.0,27.6,2,70.0,54.5,Babolat,25.0,263.5,0,0,htr   graphite,209.0,304.0
